X,Y,Index_,event_unique_id,year_,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.3821182,43.6590996,1,2304687,2007,D52,Shooting,2007-09-19T04:00:00.000Z,75,Church-Yonge Corridor (75),43.6590996,-79.3821182,1
-79.344650300000012,43.7646408,2,2430194,2007,D33,Other,2007-09-25T04:00:00.000Z,45,Parkwoods-Donalda (45),43.7646408,-79.3446503,2
-79.5170746,43.7548561,3,2373602,2007,D31,Shooting,2007-09-28T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7548561,-79.5170746,3
-79.4907761,43.7373734,4,2539175,2007,D31,Stabbing,2007-10-02T04:00:00.000Z,26,Downsview-Roding-CFB (26),43.7373734,-79.4907761,4
-79.4937515,43.6716728,5,2432106,2007,D12,Shooting,2007-10-06T04:00:00.000Z,111,Rockcliffe-Smythe (111),43.6716728,-79.4937515,5
-79.4312897,43.6805267,6,2424127,2007,D13,Shooting,2007-10-08T04:00:00.000Z,94,Wychwood (94),43.6805267,-79.4312897,6
-79.5113907,43.7501373,7,1902459,2007,D31,Shooting,2007-10-09T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7501373,-79.5113907,7
-79.3101501,43.7570267,8,2421605,2007,D41,Shooting,2007-10-14T04:00:00.000Z,119,Wexford/Maryvale (119),43.7570267,-79.3101501,8
-79.3618851,43.8090858,9,2538165,2007,D33,Other,2007-10-18T04:00:00.000Z,48,Hillcrest Village (48),43.8090858,-79.3618851,9
-79.3529129,43.6661606,10,2371208,2007,D55,Shooting,2007-10-21T04:00:00.000Z,68,North Riverdale (68),43.6661606,-79.3529129,10
-79.5305557,43.6467743,11,2404032,2007,D22,Shooting,2007-10-27T04:00:00.000Z,14,Islington-City Centre West (14),43.6467743,-79.5305557,11
-79.2874374,43.707939099999983,12,2357094,2007,D41,Other,2007-09-01T04:00:00.000Z,120,Clairlea-Birchmount (120),43.7079391,-79.2874374,12
-79.515686,43.7491493,13,2345705,2007,D31,Stabbing,2007-11-03T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7491493,-79.515686,13
-79.366951,43.6565018,14,2403226,2007,D51,Shooting,2007-11-06T05:00:00.000Z,73,Moss Park (73),43.6565018,-79.366951,14
-79.2993469,43.783596,15,2528917,2007,D42,Shooting,2007-11-23T05:00:00.000Z,118,Tam O'Shanter-Sullivan (118),43.783596,-79.2993469,15
-79.2349319,43.7946625,16,2507368,2007,D42,Shooting,2007-11-23T05:00:00.000Z,132,Malvern (132),43.7946625,-79.2349319,16
-79.3089523,43.7105293,17,2424731,2007,D54,Stabbing,2007-11-23T05:00:00.000Z,54,O'Connor-Parkview (54),43.7105293,-79.3089523,17
-79.5147705,43.7672119,18,2345729,2007,D31,Shooting,2007-11-25T05:00:00.000Z,24,Black Creek (24),43.7672119,-79.5147705,18
-79.1954346,43.784832,19,2370103,2007,D43,Shooting,2007-11-28T05:00:00.000Z,135,Morningside (135),43.784832,-79.1954346,19
-79.212547299999983,43.812088,20,2101272,2007,D42,Shooting,2007-12-02T05:00:00.000Z,132,Malvern (132),43.812088,-79.2125473,20
-79.2110214,43.8179092,21,2311686,2007,D42,Shooting,2007-12-14T05:00:00.000Z,131,Rouge (131),43.8179092,-79.2110214,21
-79.359504700000016,43.6583023,22,2428698,2007,D51,Shooting,2007-12-23T05:00:00.000Z,72,Regent Park (72),43.6583023,-79.3595047,22
-79.5870972,43.753620099999985,23,2446147,2007,D23,Stabbing,2007-12-25T05:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972,23
-79.252586400000013,43.7754402,24,3098346,2007,D43,Stabbing,2007-12-01T05:00:00.000Z,137,Woburn (137),43.7754402,-79.2525864,24
-79.3689957,43.64394,25,3654724,2007,D51,,2007-02-11T05:00:00.000Z,77,Waterfront Communities-The Island (77),43.64394,-79.3689957,25
-79.317009,43.7089462,26,2586541,2008,D54,Stabbing,2008-01-01T05:00:00.000Z,54,O'Connor-Parkview (54),43.7089462,-79.317009,26
-79.3864212,43.6693687,27,2601995,2008,D51,Shooting,2008-01-12T05:00:00.000Z,75,Church-Yonge Corridor (75),43.6693687,-79.3864212,27
-79.3494568,43.666153,28,2532076,2008,D55,Shooting,2008-01-17T05:00:00.000Z,68,North Riverdale (68),43.666153,-79.3494568,28
-79.5096054,43.7248955,29,2605959,2008,D31,Shooting,2008-01-22T05:00:00.000Z,26,Downsview-Roding-CFB (26),43.7248955,-79.5096054,29
-79.2447205,43.744792899999986,30,2520381,2008,D43,Shooting,2008-02-01T05:00:00.000Z,138,Eglinton East (138),43.7447929,-79.2447205,30
-79.2447205,43.744792899999986,31,2520381,2008,D43,Shooting,2008-02-01T05:00:00.000Z,138,Eglinton East (138),43.7447929,-79.2447205,31
-79.2305603,43.8135796,32,2428060,2008,D42,Shooting,2008-02-17T05:00:00.000Z,132,Malvern (132),43.8135796,-79.2305603,32
-79.2114182,43.7637329,33,2377423,2008,D43,Shooting,2008-02-22T05:00:00.000Z,137,Woburn (137),43.7637329,-79.2114182,33
-79.4095001,43.647747,34,2604028,2008,D14,Other,2008-02-23T05:00:00.000Z,81,Trinity-Bellwoods (81),43.647747,-79.4095001,34
-79.456749,43.751667,35,2651936,2008,D32,Other,2008-02-28T05:00:00.000Z,34,Bathurst Manor (34),43.751667,-79.456749,35
-79.4482269,43.7191162,36,2704738,2008,D32,Shooting,2008-03-14T04:00:00.000Z,31,Yorkdale-Glen Park (31),43.7191162,-79.4482269,36
-79.5722122,43.65239720000001,37,2722663,2008,D22,Stabbing,2008-03-18T04:00:00.000Z,13,Etobicoke West Mall (13),43.6523972,-79.5722122,37
-79.341606100000021,43.6648445,38,2371247,2008,D55,Shooting,2008-03-18T04:00:00.000Z,70,South Riverdale (70),43.6648445,-79.3416061,38
-79.4458618,43.6620674,39,2586161,2008,D14,Stabbing,2008-04-17T04:00:00.000Z,93,Dovercourt-Wallace Emerson-Junction (93),43.6620674,-79.4458618,39
-79.219726599999987,43.7451057,40,2651181,2008,D43,Stabbing,2008-05-04T04:00:00.000Z,139,Scarborough Village (139),43.7451057,-79.2197266,40
-79.4656143,43.6678658,41,2743492,2008,D12,Stabbing,2008-04-30T04:00:00.000Z,90,Junction Area (90),43.6678658,-79.4656143,41
-79.219726599999987,43.7451057,42,2577122,2008,D43,Other,2008-05-04T04:00:00.000Z,139,Scarborough Village (139),43.7451057,-79.2197266,42
-79.3351898,43.731266,43,2783886,2008,D33,Stabbing,2008-05-17T04:00:00.000Z,42,Banbury-Don Mills (42),43.731266,-79.3351898,43
-79.3351898,43.731266,44,2783886,2008,D33,Other,2008-05-17T04:00:00.000Z,42,Banbury-Don Mills (42),43.731266,-79.3351898,44
